0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:53:20 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:53:20 +0900] "GET /theater/image/feedbapLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:53:20 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:53:20 +0900] "GET /theater/category/image/home.jpg HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:55:29 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:55:30 +0900] "GET /theater/category/image/home.jpg HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:55:45 +0900] "GET /theater/category/image/home.jpg HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:56:40 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:56:40 +0900] "GET /theater/image/home.jpg HTTP/1.1" 200 887544
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:56:48 +0900] "GET /theater/home.jsp HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:56:49 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:56:57 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:56:58 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:56:59 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:57:00 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:57:02 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:57:04 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:57:05 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:58:50 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:03 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:03 +0900] "GET /theater/image/home.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:04 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:06 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:13 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:30 +0900] "GET /theater/category/list_user.jsp HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:31 +0900] "GET /theater/login_logout/login.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [05/Jun/2018:20:59:32 +0900] "GET /theater/login_logout/registration.jsp HTTP/1.1" 200 3043
