id,name,group,height,weight,life_span
88,"Finnish Lapphund"," Herding Dogs"," 1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder"," 33 to 53 pounds"," 12 to 15 years"
89,"Finnish Spitz"," Sporting Dogs"," 1 foot, 3 inches to 1 foot, 8 inches tall at the shoulder"," 20 to 35 pounds"," 12 to 15 years"
90,"Flat-Coated Retriever"," Sporting Dogs"," 1 foot, 10 inches to 2 feet tall at the shoulder"," 55 to 70 pounds"," 10 to 12 years"
91,"Fox Terrier"," Terrier Dogs"," Up to 1 foot, 3 inches tall at the shoulder"," 15 to 19 pounds"," 10 to 15 years"
92,"French Bulldog"," Companion Dogs"," 11 inches to 1 foot tall at the shoulder"," 16 to 28 pounds"," 11 to 14 years"
93,"German Pinscher"," Working Dogs"," 1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder"," 25 to 45 pounds"," 12 to 14 years"
94,"German Shepherd Dog"," Herding Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 75 to 95 pounds"," 10 to 14 years"
95,"German Shorthaired Pointer"," Sporting Dogs"," 1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder"," 45 to 70 pounds"," 12 to 15 years"
96,"German Wirehaired Pointer"," Sporting Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 60 to 70 pounds"," 12 to 14 years"
97,"Giant Schnauzer"," Working Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 55 to 80 pounds"," 10 to 12 years"
98,"Glen of Imaal Terrier"," Terrier Dogs"," 1 foot to 1 foot, 2 inches tall at the shoulder"," Up to 35 pounds"," 12 to 15 years"
99,Goldador," Hybrid Dogs"," 1 foot, 10 inches to 2 feet tall at the shoulder"," 60 to 80 pounds"," 10 to 15 years"
100,"Golden Retriever"," Sporting Dogs"," 1 foot, 9 inches to 2 feet tall at the shoulder"," 55 to 75 pounds"," 10 to 12 years"
101,Goldendoodle," Hybrid Dogs"," 1 foot, 8 inches to 2 feet tall at the shoulder"," 50 to 90 pounds"," 10 to 15 years"
102,"Gordon Setter"," Sporting Dogs"," 1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder"," 45 to 80 pounds"," 10 to 12 years"
103,"Great Dane"," Working Dogs"," 2 feet, 4 inches to 2 feet, 10 inches tall at the shoulder"," 100 to 200 pounds"," 7 to 10 years"
104,"Great Pyrenees"," Working Dogs"," 2 feet, 1 inch to 2 feet, 8 inches tall at the shoulder"," 85 to 160 pounds"," 10 to 12 years"
105,"Greater Swiss Mountain Dog"," Working Dogs"," 1 foot, 11 inches to 2 feet, 4 inches tall at the shoulder"," 85 to 140 pounds"," 7 to 9 years"
106,Greyhound," Hound Dogs"," 2 feet, 1 inch to 2 feet, 6 inches tall at the shoulder"," 50 to 85 pounds"," 12 to 15 years"
107,Harrier," Hound Dogs"," 1 foot, 7 inches to 1 foot, 9 inches tall at the shoulder"," 45 to 60 pounds"," 10 to 12 years"
108,Havanese," Companion Dogs"," 8 inches to 11 inches tall at the shoulder"," 7 to 13 pounds"," 12 to 15 years"
109,"Ibizan Hound"," Hound Dogs"," 1 foot, 10 inches to 2 feet, 3 inches tall at the shoulder"," 45 to 50 pounds"," 10 to 14 years"
110,"Icelandic Sheepdog"," Herding Dogs"," 1 foot, 4 inches to 1 foot, 6 inches tall at the shoulder"," 20 to 30 pounds"," 14 to 15 years"
111,"Irish Red and White Setter"," Sporting Dogs"," 1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder"," 50 to 70 pounds"," 10 to 14 years"
112,"Irish Setter"," Sporting Dogs"," 2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder"," 60 to 70 pounds"," 11 to 15 years"
113,"Irish Terrier"," Terrier Dogs"," 1 foot, 6 inches to 1 foot, 8 inches tall at the shoulder"," 25 to 27 pounds"," 12 to 16 years"
114,"Irish Water Spaniel"," Sporting Dogs"," 1 foot, 9 inches to 2 feet tall at the shoulder"," 45 to 65 pounds"," 10 to 12 years"
115,"Irish Wolfhound"," Hound Dogs"," 2 feet, 8 inches to 2 feet, 11 inches tall at the shoulder"," 115 to 180 pounds"," 6 to 8 years"
116,"Italian Greyhound"," Companion Dogs"," 1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder"," 6 to 15 pounds"," 14 to 15 years"
117,"Jack Russell Terrier"," Terrier Dogs"," 10 inches to 1 foot, 3 inches tall at the shoulder"," 13 to 17 pounds"," 10 to 15 years"
118,"Japanese Chin"," Companion Dogs"," 8 inches to 11 inches tall at the shoulder"," 4 to 9 pounds"," 10 to 14 years"
119,Keeshond," Companion Dogs"," 1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder"," 35 to 45 pounds"," 12 to 15 years"
120,"Kerry Blue Terrier"," Terrier Dogs"," 1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder"," 33 to 40 pounds"," 12 to 15 years"
121,Komondor," Working Dogs"," 2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder"," 80 to 100 pounds"," 10 to 12 years"
122,Kooikerhondje," Sporting Dogs"," 1 foot, 2 inches to 1 foot, 4 inches tall at the shoulder"," 20 to 25 pounds"," 12 to 14 years"
123,Kuvasz," Working Dogs"," 2 feet, 2 inches to 2 feet, 6 inches tall at the shoulder"," 70 to 115 pounds"," 10 to 12 years"
124,Labradoodle," Hybrid Dogs"," 1 foot, 9 inches to 2 feet tall at the shoulder"," 50 to 65 pounds"," 12 to 14 years"
125,"Labrador Retriever"," Sporting Dogs"," 1 foot, 9 inches to 2 feet tall at the shoulder"," 55 to 80 pounds"," 10 to 12 years"
126,"Lakeland Terrier"," Terrier Dogs"," 1 foot, 1 inch to 1 foot, 2 inches tall at the shoulder"," 15 to 17 pounds"," 12 to 15 years"
127,"Lancashire Heeler"," Herding Dogs"," 10 inches to 1 foot tall at the shoulder"," 13 to 15 pounds"," 9 to 14 years"
128,Leonberger," Working Dogs"," 2 feet, 1 inch to 2 feet, 7 inches tall at the shoulder"," 120 to 170 pounds"," 10 to 12 years"
